,0.1,0.05,0.01
PNW,-0.012689408480802241,-0.01639415763580075,-0.023343650920434552
APD,-0.013999050095476756,-0.018156753240959615,-0.02595591288178167
HES,-0.03134027486887759,-0.04039805753105938,-0.05738895142183084
AFL,-0.023783915344916078,-0.03056386539068078,-0.0432819241152838
AMGN,-0.01650705082985212,-0.021328044467134,-0.030371426759926844
ADI,-0.020687499241843682,-0.026813585702529594,-0.03830510508439716
APA,-0.03414495138072026,-0.043765102799847466,-0.06181090695211587
AMAT,-0.02546520505701942,-0.033084576511164136,-0.04737725019522914
ADSK,-0.025313066000491477,-0.03286489896523147,-0.04703088167537745
AVY,-0.015106455738644551,-0.019622821278414127,-0.02809477192242281
BLL,-0.02698013506461225,-0.034682075838895474,-0.049129635835585765
BK,-0.01690290088060594,-0.02178194105639436,-0.030934209001810452
VZ,-0.013371683658108244,-0.01726125301823177,-0.024557438270565484
BBY,-0.025844105837596693,-0.033536471420944465,-0.04796606995187255
HRB,-0.024474690612525052,-0.03136916369805506,-0.0443020485991378
CAH,-0.02302862350617177,-0.029444137877637833,-0.04147857588589565
CTL,-0.02753452194156611,-0.03522307802534117,-0.049645530568621865
CMA,-0.02135414642786782,-0.027608352943524754,-0.03934020424110293
C,-0.020135713448015173,-0.026006989815285368,-0.037020527838911646
CMS,-0.012172928473622039,-0.015795169017659462,-0.022589889869988403
DHR,-0.016562422225704084,-0.021430372230630285,-0.030561836859895143
DOV,-0.019770032447700373,-0.025594610878250792,-0.036520551338840315
OMC,-0.01517624273690247,-0.01952157810514887,-0.027672704591099117
PKI,-0.01835413411823865,-0.023759423436401614,-0.03389884725336758
ECL,-0.01430967100602227,-0.018534926018093426,-0.026460801726206153
EFX,-0.019167165442044547,-0.02469991271748907,-0.03507842646501246
FITB,-0.02033831543742449,-0.026269344433898927,-0.03739496845256048
RF,-0.023287838513750003,-0.030110609150976728,-0.042908992183747253
USB,-0.014270552898877995,-0.018432729525835644,-0.026240280673927783
BEN,-0.020373362145764285,-0.02609175549812823,-0.03681851041148858
GPS,-0.031207467741260576,-0.040051863787077896,-0.05664247987349254
HAS,-0.021911252757351736,-0.028296511087990597,-0.04027419379548411
HD,-0.015025289719267245,-0.019450236465906934,-0.027750700657698378
CNP,-0.014928765561682995,-0.019290741947783407,-0.02747308421569015
HBAN,-0.019966685709799144,-0.025757962324407132,-0.03662143411665355
ITW,-0.015697591584804656,-0.020361637205893315,-0.029110611122048893
IPG,-0.02039347529098304,-0.026213059482195534,-0.03712963158037005
JCI,-0.01828602115925024,-0.02351165316328738,-0.033314069737436856
KLAC,-0.020975855978299575,-0.02723489473981532,-0.03897581052698254
LMT,-0.01503120694453202,-0.019484269568773527,-0.02783747447104515
L,-0.013596822237944754,-0.01755879584850675,-0.024990799433242856
LOW,-0.019784146201586226,-0.025561200898951655,-0.03639799473967241
MRO,-0.04002533794114602,-0.051527257544583364,-0.07310294585714817
MMC,-0.01167408949559743,-0.015199508696541393,-0.02181260881140977
MCK,-0.023265392409663813,-0.02980957473853497,-0.04208537243634905
MDT,-0.014079748365000746,-0.018201996598373557,-0.025934648720519593
MU,-0.03499074608996596,-0.04540541912129878,-0.06494161368261
NWL,-0.029319167846020094,-0.037472837047364586,-0.05276776444708266
NKE,-0.01824577090622885,-0.023589434129873164,-0.03361325764244665
JWN,-0.031643237347238985,-0.040645084035565424,-0.05753105134199508
NTRS,-0.01803010713747666,-0.023287811261865313,-0.03315038979993779
NOC,-0.0168771020835063,-0.021865339886737212,-0.031222444420775142
NUE,-0.021329681818702245,-0.027514351933996827,-0.03911576450896843
PNC,-0.016009466262253972,-0.020721629109960168,-0.02956086294096115
PH,-0.018295841652545643,-0.023731216519104956,-0.03392707582138923
PAYX,-0.014099192560314425,-0.018251645184003344,-0.026040955719144776
PPL,-0.013642715625133587,-0.01754153846063371,-0.024855081693845135
PHM,-0.02097672943016695,-0.02718685880627739,-0.03883602872045584
SEE,-0.02030818282221457,-0.02607136396494828,-0.03688213332446576
KEY,-0.020654955382597442,-0.02667404657386145,-0.03796486062448362
LUV,-0.02181438947185894,-0.02811447212934042,-0.039932379439403115
T,-0.014068942434404519,-0.018112999719376893,-0.02569897862611916
STT,-0.020657333575026405,-0.026609118639747274,-0.0377736775905349
SYY,-0.01336868244545451,-0.0173869100264413,-0.024924436704198055
TMO,-0.015220196133266868,-0.019796046867545058,-0.028379581843576588
AEE,-0.012391116128455872,-0.01608029973235236,-0.023000594631797478
UNH,-0.015981886173586573,-0.020797379427186548,-0.02983044391495101
VMC,-0.020418197886249576,-0.026363741000813637,-0.03751659109119455
TJX,-0.026129080553032803,-0.03357744760076079,-0.04754934545782213
TFC,-0.016665942340027867,-0.021535732549564732,-0.030670649096638095
MS,-0.021144078439943773,-0.027322149567254768,-0.038911183538234945
MSFT,-0.01594031231382027,-0.02078349849881126,-0.029868510320303857
ORCL,-0.01643061052114636,-0.021219809144550624,-0.030203549279080415
ADBE,-0.020698784316462857,-0.02696684755220103,-0.03872469175216551
UNM,-0.022041855573881854,-0.028299223206092752,-0.040037004232606574
PGR,-0.015073676529519303,-0.019604342663861893,-0.028103118844983475
CCL,-0.019651198165385582,-0.025239113996501958,-0.035721114779482865
VIAC,-0.020339137426390333,-0.02610956081014012,-0.036933915409359724
SCHW,-0.022219281755900145,-0.02867669821829,-0.04078973758045976
WM,-0.011149271858690387,-0.014539703385720523,-0.020899589073882903
FCX,-0.042860970350716676,-0.05536889281373056,-0.07883167518434167
CINF,-0.014178211148646952,-0.018381634953218758,-0.02626655894677141
CSCO,-0.01716860553889714,-0.022229318169428542,-0.03172237342632451
AZO,-0.02005846738722507,-0.025917356827784694,-0.036907659036949356
AES,-0.018698912812410595,-0.024245224702907298,-0.03464918341236195
QCOM,-0.0272238600393234,-0.03516795065208408,-0.050069743474255614
LIN,-0.01505100803166177,-0.019548224903342112,-0.027984255830595807
BSX,-0.018629609954558386,-0.02420007634386399,-0.03464934487599305
KSS,-0.03158934280923872,-0.04065556228314472,-0.05766228222959989
AGN,-0.025487343007636783,-0.03263133253453808,-0.04603226878300449
HUM,-0.01961415587306945,-0.025415938771539467,-0.03629911860502994
ALL,-0.012555367812404163,-0.016301259622945187,-0.023327929687015993
MAR,-0.01706337204240578,-0.022163739773075106,-0.031731181402861706
COST,-0.013921685504052981,-0.018059671983219196,-0.02582184643707441
EMN,-0.018829884350415105,-0.02424551356935243,-0.03440433332056086
COF,-0.018547311473887138,-0.02394094973194156,-0.034058518097810665
DRI,-0.01637502732211601,-0.021197256433633287,-0.03024295627062224
NTAP,-0.02524311325390038,-0.03269980895841887,-0.046687329990495297
HIG,-0.014926649628751096,-0.019277448500746037,-0.02743882361110311
YUM,-0.017655885811658143,-0.022789228736306982,-0.03241852634595418
RHI,-0.020746279509819877,-0.026751254875371992,-0.038015589984536136
STZ,-0.0181436088237848,-0.023397925409437675,-0.03325414948821729
CTAS,-0.01465442259215954,-0.019139132916218347,-0.027551703640075396
CMCSA,-0.026633525995167016,-0.03420780572473746,-0.048415894832624415
FLS,-0.024120367307239123,-0.031061103845709776,-0.04408077129051786
EXPD,-0.01618748840577934,-0.020960226624327196,-0.02991308977684658
MTB,-0.016741694202781286,-0.021611648259382697,-0.03074687215630003
J,-0.019372867984224978,-0.02511878395036913,-0.03589716670994493
LEG,-0.017259976778609586,-0.022238870076392653,-0.03157844587227826
LEN,-0.021658778512234154,-0.027880177227745922,-0.03955048654845777
